query,clicks,impressions,ctr,position
カオサン通り 女 遊び,30.0,85.0,0.35294117647058826,2.5176470588235293
カオサン通り ゴーゴーバー,9.0,14.0,0.6428571428571429,1.1428571428571428
カオサン通り 風俗,8.0,18.0,0.4444444444444444,1.8333333333333335
カオサン通り 夜遊び,5.0,32.0,0.15625,3.8125
デンパサール空港 atm,3.0,5.0,0.6,2.6
自衛隊 退職金計算シミュレーション,1.0,92.0,0.010869565217391304,6.793478260869565
ゴーゴーバー,1.0,88.0,0.011363636363636364,8.545454545454547
自衛隊 給料 安 すぎ,1.0,38.0,0.02631578947368421,5.973684210526316
自衛官から警察官,1.0,24.0,0.041666666666666664,4.958333333333334
自衛隊から消防士,1.0,19.0,0.05263157894736842,4.631578947368421
ワットポー 所要時間,1.0,16.0,0.0625,5.9375
自衛隊 入隊 40歳,1.0,15.0,0.06666666666666667,9.133333333333333
ペラサイト,1.0,14.0,0.07142857142857142,8.071428571428571
シドニー国際空港 お土産,1.0,12.0,0.08333333333333333,7.833333333333333
ボンダイビーチ カフェ,1.0,9.0,0.1111111111111111,11.555555555555555
自衛官から消防士,1.0,9.0,0.1111111111111111,4.444444444444445
自衛隊から警察官,1.0,8.0,0.125,5.0
バリ島 atm,1.0,7.0,0.14285714285714285,5.714285714285714
インドネシア atm キャッシング,1.0,6.0,0.16666666666666666,7.833333333333333
マレーシア キャッシング,1.0,6.0,0.16666666666666666,9.833333333333334
オカダマニラ 遊び方,1.0,5.0,0.2,4.0
ワットポー 入場時間,1.0,4.0,0.25,4.25
アフィリエイト ペラサイト 例,1.0,3.0,0.3333333333333333,5.666666666666667
自衛隊 消防士,1.0,3.0,0.3333333333333333,6.0
47都道府県制覇,1.0,2.0,0.5,14.0
インドネシア atm 手数料 無料,1.0,2.0,0.5,11.0
ビズメイツ 講師 かわいい,1.0,2.0,0.5,9.0
レアル・マドリード チケット 買い方,1.0,2.0,0.5,23.0
バリ キャッシング,1.0,1.0,1.0,2.0
バリ島 キャッシング,1.0,1.0,1.0,2.0
自衛官 うつ病,1.0,1.0,1.0,17.0
srsltid,0.0,30.0,0.0,56.733333333333334
カニバリ seo,0.0,12.0,0.0,85.66666666666667
47 都 道府県 制覇 費用,0.0,9.0,0.0,4.777777777777778
web m&a,0.0,9.0,0.0,48.55555555555556
ゴーゴーバー タイ,0.0,9.0,0.0,8.222222222222221
ソラ パリ,0.0,9.0,0.0,19.333333333333332
シドニー空港 お土産,0.0,8.0,0.0,9.75
seo オワコン,0.0,7.0,0.0,87.85714285714286
where to find souvenirs in sydney,0.0,7.0,0.0,37.0
オカダマニラ カジノ,0.0,7.0,0.0,17.285714285714285
google インデックスされない,0.0,6.0,0.0,74.33333333333333
seo対策 サイト構造,0.0,6.0,0.0,93.83333333333333
srsltid parameter,0.0,6.0,0.0,73.83333333333333
srsltid url,0.0,6.0,0.0,66.5
インデックスされない,0.0,6.0,0.0,72.5
オンライン 英会話 美人,0.0,6.0,0.0,8.5
オンライン英会話 美人,0.0,6.0,0.0,14.166666666666666
クラウドワークス 注意点,0.0,6.0,0.0,29.333333333333332
ai and seo,0.0,5.0,0.0,95.2
booking.com 評判,0.0,5.0,0.0,15.4
cheap souvenirs sydney,0.0,5.0,0.0,35.2
ferðir til koh samet,0.0,5.0,0.0,41.4
google リスティング広告とは,0.0,5.0,0.0,89.8
google 検索 順位 おかしい,0.0,5.0,0.0,68.4
qq english 評判,0.0,5.0,0.0,45.6
seo サイト構造,0.0,5.0,0.0,83.8
visa extension bangkok,0.0,5.0,0.0,45.4
オカダマニラ コンビニ,0.0,5.0,0.0,5.0
グーグル リスティング 広告,0.0,5.0,0.0,68.6
サイト 構造 seo,0.0,5.0,0.0,83.8
47 都 道府県制覇 した 人,0.0,4.0,0.0,19.25
47都道府県 制覇,0.0,4.0,0.0,18.5
bangkok to koh samet,0.0,4.0,0.0,20.0
booking.com 安い なぜ,0.0,4.0,0.0,11.0
bookingドットコム,0.0,4.0,0.0,19.0
google リスティング広告,0.0,4.0,0.0,85.75
google リスティング広告 やり方,0.0,4.0,0.0,84.5
googleリスティング広告,0.0,4.0,0.0,85.25
google広告 リスティング,0.0,4.0,0.0,85.75
sand dunes tottori,0.0,4.0,0.0,65.25
seo サイト 構造,0.0,4.0,0.0,84.25
