query,clicks,impressions,ctr,position,clicks_prev,impressions_prev,ctr_prev,position_prev,clicks_delta,clicks_pct,impressions_delta,impressions_pct,ctr_delta,ctr_pct,position_delta,position_pct
カオサン通り 女 遊び,16.0,70.0,0.22857142857142856,2.9142857142857146,11.0,58.0,0.1896551724137931,3.2758620689655173,5.0,0.45454545454545453,12.0,0.20689655172413793,0.03891625615763547,0.2051948051948052,-0.36157635467980276,-0.110375939849624
カオサン通り ゴーゴーバー,14.0,24.0,0.5833333333333334,1.125,6.0,11.0,0.5454545454545454,1.0,8.0,1.3333333333333333,13.0,1.1818181818181819,0.037878787878787956,0.06944444444444459,0.125,0.125
カオサン通り 夜遊び,7.0,26.0,0.2692307692307692,3.730769230769231,6.0,27.0,0.2222222222222222,5.148148148148148,1.0,0.16666666666666666,-1.0,-0.037037037037037035,0.04700854700854701,0.21153846153846154,-1.417378917378917,-0.2753182069728832
オペラハウス プロジェクションマッピング,6.0,28.0,0.21428571428571427,3.0,0.0,6.0,0.0,3.6666666666666665,6.0,,22.0,3.6666666666666665,0.21428571428571427,,-0.6666666666666665,-0.1818181818181818
オカダマニラ 遊び方,5.0,11.0,0.45454545454545453,2.3636363636363633,0.0,1.0,0.0,2.0,5.0,,10.0,10.0,0.45454545454545453,,0.3636363636363633,0.18181818181818166
カオサン 風俗,5.0,11.0,0.45454545454545453,2.0,4.0,6.0,0.6666666666666666,2.0,1.0,0.25,5.0,0.8333333333333334,-0.2121212121212121,-0.3181818181818182,0.0,0.0
バリ島 キャッシング,4.0,9.0,0.4444444444444444,1.4444444444444444,4.0,15.0,0.26666666666666666,1.6666666666666665,0.0,0.0,-6.0,-0.4,0.17777777777777776,0.6666666666666666,-0.2222222222222221,-0.13333333333333328
カオサン通り 風俗,4.0,7.0,0.5714285714285714,1.5714285714285714,4.0,10.0,0.4,2.1,0.0,0.0,-3.0,-0.3,0.17142857142857137,0.42857142857142844,-0.5285714285714287,-0.2517006802721089
オカダマニラ カジノ 遊び方,3.0,9.0,0.3333333333333333,2.7777777777777777,9.0,30.0,0.3,2.8666666666666667,-6.0,-0.6666666666666666,-21.0,-0.7,0.033333333333333326,0.11111111111111109,-0.08888888888888902,-0.03100775193798454
自衛隊から警察,2.0,18.0,0.1111111111111111,4.333333333333334,3.0,29.0,0.10344827586206896,4.931034482758621,-1.0,-0.3333333333333333,-11.0,-0.3793103448275862,0.007662835249042141,0.07407407407407403,-0.5977011494252871,-0.12121212121212115
警察官と自衛官 どっち がいい,2.0,15.0,0.13333333333333333,4.533333333333333,,,,,2.0,,15.0,,0.13333333333333333,,4.533333333333333,
ワットポー 時間,1.0,44.0,0.022727272727272728,6.454545454545454,,,,,1.0,,44.0,,0.022727272727272728,,6.454545454545454,
モンキーフォレスト 所要時間,1.0,21.0,0.047619047619047616,8.380952380952381,,,,,1.0,,21.0,,0.047619047619047616,,8.380952380952381,
シドニー国際空港 お土産,1.0,20.0,0.05,5.4,2.0,15.0,0.13333333333333333,7.266666666666667,-1.0,-0.5,5.0,0.3333333333333333,-0.08333333333333333,-0.625,-1.8666666666666663,-0.2568807339449541
シドニー 空港 お土産,1.0,12.0,0.08333333333333333,8.083333333333332,0.0,6.0,0.0,8.666666666666668,1.0,,6.0,1.0,0.08333333333333333,,-0.5833333333333357,-0.06730769230769257
自衛官 転職,1.0,11.0,0.09090909090909091,26.09090909090909,,,,,1.0,,11.0,,0.09090909090909091,,26.09090909090909,
自衛隊から消防士,1.0,8.0,0.125,2.5,2.0,21.0,0.09523809523809523,2.761904761904762,-1.0,-0.5,-13.0,-0.6190476190476191,0.029761904761904767,0.31250000000000006,-0.26190476190476186,-0.09482758620689653
ボンダイビーチ ランチ,1.0,5.0,0.2,8.6,,,,,1.0,,5.0,,0.2,,8.6,
オカダマニラ コンビニ,1.0,4.0,0.25,6.25,0.0,6.0,0.0,5.5,1.0,,-2.0,-0.3333333333333333,0.25,,0.75,0.13636363636363635
ペラサイト 作り方,1.0,4.0,0.25,8.25,,,,,1.0,,4.0,,0.25,,8.25,
自衛隊 早期退職 40代,1.0,4.0,0.25,4.0,,,,,1.0,,4.0,,0.25,,4.0,
自衛隊 定年後 悲惨,1.0,3.0,0.3333333333333333,23.666666666666668,,,,,1.0,,3.0,,0.3333333333333333,,23.666666666666668,
バリ島 クレジットカード キャッシング,1.0,2.0,0.5,2.0,,,,,1.0,,2.0,,0.5,,2.0,
幹部自衛官 転職,1.0,2.0,0.5,18.5,,,,,1.0,,2.0,,0.5,,18.5,
自衛隊 定年後再任用 給与,1.0,2.0,0.5,20.5,,,,,1.0,,2.0,,0.5,,20.5,
オカダマニラ サンダル,1.0,1.0,1.0,8.0,,,,,1.0,,1.0,,1.0,,8.0,
佐賀 インスタ映え スイーツ,1.0,1.0,1.0,24.0,,,,,1.0,,1.0,,1.0,,24.0,
シドニー空港 お土産,0.0,46.0,0.0,7.869565217391305,5.0,51.0,0.09803921568627451,9.27450980392157,-5.0,-1.0,-5.0,-0.09803921568627451,-0.09803921568627451,-1.0,-1.4049445865302648,-0.15148451144406658
srsltid,0.0,20.0,0.0,67.7,0.0,24.0,0.0,55.958333333333336,0.0,,-4.0,-0.16666666666666666,0.0,,11.741666666666667,0.20982874162323156
google インデックスされない,0.0,16.0,0.0,74.75,0.0,49.0,0.0,74.0204081632653,0.0,,-33.0,-0.673469387755102,0.0,,0.7295918367346985,0.009856630824372823
booking.com 評判,0.0,12.0,0.0,14.75,0.0,5.0,0.0,13.8,0.0,,7.0,1.4,0.0,,0.9499999999999993,0.06884057971014487
カオサン通り,0.0,10.0,0.0,22.8,0.0,9.0,0.0,45.22222222222222,0.0,,1.0,0.1111111111111111,0.0,,-22.42222222222222,-0.4958230958230958
booking,0.0,9.0,0.0,3.888888888888889,0.0,5.0,0.0,5.6,0.0,,4.0,0.8,0.0,,-1.7111111111111108,-0.3055555555555555
